Variable,DND_M,DND_SD,Normal_M,Normal_SD,Diff,t,df,p,Cohens_d,n_pairs
Stressed,2.7576923076923077,0.7637206496941344,2.542307692307692,0.8807776284450183,0.21538461538461548,0.668953830286843,12,0.516188290199029,0.1855344104628652,13
Overwhelmed,2.630769230769231,0.8788103847290906,2.4,0.9101281960984031,0.23076923076923078,0.6542643434831131,12,0.525282582442202,0.18146027985662674,13
InControl,3.6730769230769225,0.47108712243392614,3.7192307692307693,0.5210320133872381,-0.046153846153846226,-0.38977614600572597,12,0.7035316108445713,-0.10810445233664487,13
Focused,3.6961538461538463,0.44649633185388476,3.534615384615385,0.5209704947597862,0.16153846153846155,0.821924628214823,12,0.4271492899098576,0.22796087627655542,13
Distracted,2.1653846153846157,0.5490084301814102,2.6192307692307697,0.687852473747842,-0.4538461538461539,-1.6086339756984536,12,0.13367257130354826,-0.44615479098725125,13
Attention,3.5923076923076924,0.4698608632023217,3.423076923076923,0.44376015698018334,0.16923076923076927,1.0665295642401835,12,0.30717235517108393,0.2958020792820189,13
Productive,3.430769230769231,0.6514530110767972,3.25,0.46097722286464443,0.18076923076923074,0.9841987738690898,12,0.3444461338162869,0.272967626494907,13
Accomplished,3.746153846153846,0.6226494259953249,3.534615384615385,0.6568182826400742,0.21153846153846162,1.4908488920107568,12,0.16181242311626692,0.41348708647026605,13
PhoneInterruptions,1.8192307692307692,0.5618193888083836,2.338461538461538,0.6985562033442758,-0.519230769230769,-2.118314991229633,12,0.05570173475805196,-0.5875148706509609,13
SleepQuality,3.234615384615385,0.7431309371460656,3.6769230769230767,0.7779822686002621,-0.44230769230769224,-2.3346544386081205,12,0.03775020691638423,-0.6475166376070133,13
SleepDisturbed,1.1961538461538461,0.3490830479398482,1.3884615384615384,0.6103802933942925,-0.19230769230769232,-1.0303621981935993,12,0.3231607301379623,-0.285771056760524,13
